predicted_return;actual_return;error
-8.04135290145874e-06;0.0;0.0
-7.096731743812561e-06;-0.00013865041457586746;-0.00013060906167440873
-8.04135290145874e-06;-5.248525864033289e-05;-4.538852689652033e-05
-2.397459409236908e-05;7.670746592720752e-05;8.474881882866627e-05
-7.096731743812561e-06;-0.00020519345594412295;-0.00018121886185175386
-6.306182881355286e-05;-0.0001786319795060261;-0.00017153524776221353
-9.811529612541198e-06;2.7365727922018523e-05;9.042755673557139e-05
-8.04135290145874e-06;-4.935289024788012e-05;-3.954136063533892e-05
-2.8425279760360717e-05;0.00011165168098472734;0.00011969303388618607
-9.811529612541198e-06;0.0002398911908309276;0.0002683164705912883
