_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639fa6b81378fdf8812d223e;2022-12-18 18:48:08;100.0;100.13767174816984;100.52218793897893;0.1376717481698364;0.5221879389789308;0.3845161908090944
639fb68c1378fdf8812e03ee;2022-12-18 19:55:40;200.13767174816985;199.84328212753894;201.23587683452385;-0.2943896206309091;1.0982050863539996;0.6958183808279678
639fc6021378fdf8812ee59e;2022-12-18 21:01:38;199.84328212753894;199.55029912704742;201.10291896506425;-0.2929830004915175;1.2596368375253064;0.7769187042404307
639fd4ec1378fdf8812fc74e;2022-12-18 22:05:16;199.55029912704742;199.47862486147278;200.73582596320034;-0.07167426557464296;1.185526836152917;0.630017147169065
639fe4ef1378fdf88130a8fe;2022-12-18 23:13:35;199.47862486147278;199.54352917004098;200.74424136992633;0.0649043085682024;1.2656165084535473;0.6019252442306414
639ff48a1378fdf881318aae;2022-12-19 00:20:10;299.543529170041;299.75705064569433;300.95037749338996;0.21352147565335144;1.4068483233489815;0.3983817814399248
63a003fa1378fdf881326c5e;2022-12-19 01:26:02;399.75705064569433;399.80649782283086;400.35208660221;0.04944717713652835;0.5950359565156873;0.13648008921866786
63a012fb1378fdf881334e0e;2022-12-19 02:30:03;499.80649782283086;499.7947449435627;500.72847637141075;-0.011752879268158267;0.9219785485798866;0.18681858517554323
63a023101378fdf881342fbe;2022-12-19 03:38:40;499.7947449435627;498.9334135631784;500.8834358963379;-0.8613313803842857;1.0886909527752096;0.390164633159497
63a0336b1378fdf88135116e;2022-12-19 04:48:27;498.9334135631784;498.45232507653196;499.9964578270776;-0.4810884866464562;1.0630442638992008;0.3094867388251455
