_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639fa6b81378fdf8812d2240;2022-12-18 18:48:08;100.0;99.97489482951316;100.06500020440727;-0.0251051704868388;0.06500020440726928;0.09010537489410808
639fb68c1378fdf8812e03f0;2022-12-18 19:55:40;99.97489482951316;99.82922625205165;100.0405627734215;-0.14566857746150674;0.06566794390833763;0.21138959108707822
639fc6021378fdf8812ee5a0;2022-12-18 21:01:38;99.82922625205165;99.82535308501106;99.90311339496908;-0.003873167040595149;0.07388714291742815;0.07789333131931912
639fd4ec1378fdf8812fc750;2022-12-18 22:05:16;99.82535308501106;99.8350124428641;99.87938573323304;0.009659357853038841;0.05403264822197684;0.04445092253382746
639fe4ef1378fdf88130a900;2022-12-18 23:13:35;199.8350124428641;199.86436869599675;199.9422808733167;0.029356253132647225;0.10726843045259216;0.03898825154186693
639ff48a1378fdf881318ab0;2022-12-19 00:20:10;299.86436869599675;299.9828143834257;300.0359620872698;0.11844568742895945;0.1715933912730634;0.017723914340081273
63a003fa1378fdf881326c60;2022-12-19 01:26:02;399.9828143834257;400.03709389364354;400.2606445282548;0.05427951021783883;0.27783014482906765;0.055890059915657264
63a012fb1378fdf881334e10;2022-12-19 02:30:03;500.03709389364354;499.15527263045664;500.39392295048054;-0.8818212631869073;0.3568290568370003;0.247711686822851
63a023101378fdf881342fc0;2022-12-19 03:38:40;499.15527263045664;498.84840452273846;499.52851018239323;-0.30686810771817363;0.37323755193659736;0.1362513223732445
63a0336b1378fdf881351170;2022-12-19 04:48:27;498.84840452273846;498.81565075805247;499.17748516259724;-0.03275376468599234;0.32908063985877334;0.0725339404244346
