_id;inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return
639aa7bb2c4330a3456e94c2;2022-12-14 23:50:55;0.807536573888889;0.80735;0.8077300000000001;0.0004705669220281435;1179428.4171270474;-7.79685449220769e-05
639aa98a2c4330a3456eab52;2022-12-14 23:58:42;0.8076643483333332;0.80742845;0.8079000000000001;0.0005838440200724122;816999.0333048874;0.0001582274395683401
639aab9d2c4330a3456ec1e2;2022-12-15 00:07:28;0.8077575652777779;0.80762;0.80795;0.0004085384206664267;1028055.0830809906;0.00011541545028822899
639aad742c4330a3456ed872;2022-12-15 00:15:23;0.8077523359722223;0.80755;0.8079000000000001;0.0004333011300782033;1442414.885664384;-6.473855251083945e-06
639aaf332c4330a3456eef02;2022-12-15 00:22:51;0.8076519876388889;0.8074;0.8079000000000001;0.0006190785234885252;594431.8629021557;-0.0001242315606708931
639ab0fd2c4330a3456f0592;2022-12-15 00:30:29;0.8073357265277779;0.80725;0.8075;0.0003096605188961259;636180.5525039589;-0.00039158092340689363
639ab2ec2c4330a3456f1c22;2022-12-15 00:38:43;0.8073873168055556;0.80718;0.80755;0.000458268283757409;1269998.42805637;6.390188874667118e-05
639ab4c12c4330a3456f32b2;2022-12-15 00:46:33;0.8073364947222221;0.8071900000000001;0.8075;0.0003839786780685323;966199.4823936139;-6.294634839520552e-05
639ab6972c4330a3456f4942;2022-12-15 00:54:23;0.8074095233333334;0.80715;0.80765;0.0006192644321752983;930135.7708801025;9.045622437317719e-05
639ab8a02c4330a3456f5fd2;2022-12-15 01:03:04;0.8069714545833334;0.80675;0.80724;0.0006072085911056098;502298.5584651459;-0.0005425607914450014
639abaa62c4330a3456f7662;2022-12-15 01:11:42;0.8068581418055555;0.80655;0.80705;0.0006196876180503992;469591.4385307808;-0.00014041733091592058
639abc692c4330a3456f8cf2;2022-12-15 01:19:12;0.8070171313888889;0.80675;0.80725;0.0006195655340544609;568140.0604977142;0.0001970477523813532
639abe262c4330a3456fa382;2022-12-15 01:26:37;0.8068740469444445;0.80675;0.8069722500000001;0.0002754457165176276;1038317.1087784803;-0.00017730038047405474
639ac0012c4330a3456fba12;2022-12-15 01:34:32;0.8067949554166666;0.8065800000000001;0.80705;0.0005825519815716256;1117496.8425027297;-9.802214865811546e-05
639ac1dd2c4330a3456fd0a2;2022-12-15 01:42:27;0.8067844072222223;0.80645;0.8069999999999999;0.0006817186785917223;611689.2687485523;-1.3074194841476199e-05
639ac3862c4330a3456fe732;2022-12-15 01:49:34;0.8064369195833333;0.80628;0.8066800000000001;0.0004960090371442039;687487.4739446766;-0.0004307069345643907
639ac5362c4330a3456ffdc2;2022-12-15 01:56:46;0.8067289159722222;0.80653;0.80691;0.000471038030838517;895893.690895357;0.00036208211925583677
639ac6f92c4330a345701452;2022-12-15 02:04:15;0.8067940141666666;0.80655;0.80708;0.0006569210860438333;931618.7484339087;8.069401400592378e-05
639ac8ee2c4330a345702ae2;2022-12-15 02:12:38;0.8070647159722223;0.80675;0.8072900000000001;0.0006690913247887321;588858.3298018501;0.000335527781320079
639acabe2c4330a345704172;2022-12-15 02:20:19;0.8073043058333333;0.80708;0.80748;0.000495476113665787;696299.9637813268;0.0002968657362531781
639acc602c4330a345705802;2022-12-15 02:27:19;0.8073479319444445;0.80715;0.80753;0.00047067687296198417;1111165.7063342517;5.403923996932226e-05
639ace382c4330a345706e92;2022-12-15 02:35:11;0.8073918759722222;0.80715;0.80759;0.000544964611478372;1038599.5495460954;5.443009889403594e-05
