predicted_return;actual_return;error
0.0;0.0;0.0
3.2727981938256157e-05;-7.183172167739625e-05;-0.00010455970361565241
5.4766689772076076e-05;-9.850410193565874e-06;-6.461709996564195e-05
5.4766689772076076e-05;-0.00012455360609328544;-0.00017932029586536152
3.2727981938256157e-05;9.317001124659256e-05;6.04420293083364e-05
3.2727981938256157e-05;-9.894275980155892e-05;-0.0001316707417398151
5.4766689772076076e-05;-6.75796002026725e-05;-0.00012234628997474857
5.4766689772076076e-05;-5.6704315169489754e-05;-0.00011147100494156582
3.2727981938256157e-05;-0.00012550739902832792;-0.00015823538096658408
5.217922636667888e-05;-0.00029682642346711877;-0.00034900564983379766
