inserttime;initial_investment;agg_return;profit_loss
2022-11-24 21:03:00;100.0;100.04334308998143;0.04334308998143399
2022-11-24 21:58:26;200.04334308998142;200.14122099648102;0.0978779064996047
2022-11-24 22:44:45;300.141220996481;300.36374601583674;0.22252501935571445
2022-11-24 23:31:03;400.36374601583674;401.15939162504054;0.7956456092038025
2022-11-25 00:00:33;501.15939162504054;501.85668623475794;0.6972946097174031
2022-11-25 00:29:32;501.15939162504054;501.5462690885037;0.3868774634631791
2022-11-25 00:57:50;501.15939162504054;501.3406106896373;0.1812190645967462
2022-11-25 01:26:53;501.15939162504054;501.38305995010074;0.22366832506020273
2022-11-25 01:55:43;501.15939162504054;501.8956296958202;0.7362380707796774
2022-11-25 02:25:13;501.15939162504054;501.54301931493825;0.38362768989770757
