_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639fa6b81378fdf8812d2241;2022-12-18 18:48:08;100.0;100.06807270232811;100.00073292934917;0.06807270232810936;0.0007329293491693534;0.06733977297894
639fb68c1378fdf8812e03f1;2022-12-18 19:55:40;200.0680727023281;199.89246475470264;200.08079191375262;-0.1756079476254513;0.012719211424524701;0.09413154058327894
639fc6021378fdf8812ee5a1;2022-12-18 21:01:38;199.89246475470264;199.83753709553045;199.8975998718765;-0.054927659172193444;0.005135117173864501;0.03004754402311452
639fd4ec1378fdf8812fc751;2022-12-18 22:05:16;199.83753709553045;199.63961190233906;199.84717342782656;-0.197925193191395;0.00963633229611105;0.1038651339003859
639fe4ef1378fdf88130a901;2022-12-18 23:13:35;199.63961190233906;199.66962935921362;199.64898750395884;0.030017456874560366;0.009375601619780127;0.010339558897198193
639ff48a1378fdf881318ab1;2022-12-19 00:20:10;299.6696293592136;299.77650129603404;299.72464926288427;0.10687193682042562;0.05501990367065446;0.017303065799709784
63a003fa1378fdf881326c61;2022-12-19 01:26:02;399.77650129603404;399.71806245162225;399.91793048372983;-0.058438844411796254;0.14142918769579182;0.049994942539052845
63a012fb1378fdf881334e11;2022-12-19 02:30:03;399.71806245162225;398.7096106560404;399.8320500791672;-1.0084517955818342;0.11398762754492964;0.28080778142534213
63a023101378fdf881342fc1;2022-12-19 03:38:40;398.7096106560404;398.37474620862605;398.824276165912;-0.33486444741436117;0.11466550987159962;0.11274620557711165
63a0336b1378fdf881351171;2022-12-19 04:48:27;398.37474620862605;398.22963405223214;398.4845935469574;-0.14511215639390684;0.10984733833134896;0.06399991393825333
