_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639fa6b81378fdf8812d2239;2022-12-18 18:48:08;100.0;99.93158828183738;99.97611599696849;-0.06841171816262204;-0.023884003031511725;0.04452771513111031
639fb68c1378fdf8812e03e9;2022-12-18 19:55:40;199.93158828183738;200.1066862745526;199.96894634320714;0.17509799271522297;0.03735806136975839;0.06889353129696386
639fc6021378fdf8812ee599;2022-12-18 21:01:38;300.1066862745526;300.19161980608055;300.2129949636786;0.0849335315279518;0.10630868912602409;0.007122519615746658
639fd4ec1378fdf8812fc749;2022-12-18 22:05:16;400.19161980608055;400.5821540683412;400.14123450574414;0.390534262260644;-0.05038530033641564;0.11017711035796166
639fe4ef1378fdf88130a8f9;2022-12-18 23:13:35;400.5821540683412;400.5258915266049;400.3789735048547;-0.05626254173631651;-0.20318056348651226;0.03667612754539506
639ff48a1378fdf881318aa9;2022-12-19 00:20:10;500.5258915266049;500.3479594355091;500.3976867916298;-0.17793209109578356;-0.12820473497509965;0.009935021736640912
63a003fa1378fdf881326c59;2022-12-19 01:26:02;600.3479594355091;600.4353270635442;600.4286938872166;0.08736762803505371;0.08073445170748528;0.0011048886272230244
63a012fb1378fdf881334e09;2022-12-19 02:30:03;700.4353270635442;702.2010109371532;700.1191800284123;1.7656838736090776;-0.3161470351318485;0.2972195759269664
63a023101378fdf881342fb9;2022-12-19 03:38:40;702.2010109371532;702.7889408468941;702.0016028273598;0.5879299097408648;-0.1994081097934668;0.11212430732384664
63a0336b1378fdf881351169;2022-12-19 04:48:27;702.7889408468941;703.038640749288;702.4717314895311;0.24969990239389972;-0.31720935736302636;0.08066564893206393
