_id;inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return;future_predicted_return;predicted_return;error
639f98bc1378fdf8812c5738;2022-12-18 17:48:08;0.7360727006944444;0.73584;0.73616125;0.0004364378677498266;0.0;0.0;8.411432484905487e-05;0.0;0.0
639f9a471378fdf8812c6dc8;2022-12-18 17:54:54;0.736045985;0.7358433;0.73616125;0.00043197029326912405;865800.2779996548;-3.629491274333646e-05;-0.00011686218538696664;8.411432484905487e-05;-0.00012040923759239132
639f9bde1378fdf8812c8458;2022-12-18 18:01:47;0.7360863516666667;0.7357241999999999;0.73636345;0.0008684443048735844;1136515.024004531;5.484258794881643e-05;-8.903462000346819e-05;-0.00011686218538696664;0.00017170477333578306
639f9d6c1378fdf8812c9ae8;2022-12-18 18:08:08;0.7360610856944444;0.7356809;0.73627;0.0008003411828845925;246145.02441317827;-3.432473943456675e-05;-6.298214829607731e-05;-8.903462000346819e-05;5.470988056890144e-05
639f9ef91378fdf8812cb178;2022-12-18 18:15:02;0.7361529106944443;0.73589745;0.7363200000000001;0.0005739975946050708;243903.46112221008;0.00012475187424600918;-3.692951823676131e-05;-6.298214829607731e-05;0.00018773402254208647
639fa0921378fdf8812cc808;2022-12-18 18:21:38;0.7359289158333333;0.7358378999999999;0.7360491;0.00028698423917875883;386780.8222418079;-0.0003042776274561179;-1.4599101896824691e-05;-3.692951823676131e-05;-0.0002673481092193566
639fa2141378fdf8812cde98;2022-12-18 18:28:08;0.7359820690277779;0.7359462000000001;0.7360500000000001;0.0001410360447192764;595592.4258028993;7.222598990332606e-05;-5.6298293364277426e-05;-1.4599101896824691e-05;8.682509180015076e-05
639fa3b21378fdf8812cf528;2022-12-18 18:35:12;0.736005159861111;0.7359;0.7360870500000001;0.00025414224002909844;2459252.7394440197;3.137417921565167e-05;0.00010983051614329595;-5.6298293364277426e-05;8.76724725799291e-05
639fa5321378fdf8812d0bb8;2022-12-18 18:41:09;0.7360431379166666;0.73595;0.73613;0.00024455088394606734;646082.3099492249;5.160025720849082e-05;5.98367837894658e-05;0.00010983051614329595;-5.8230258934805126e-05
639fa6ba1378fdf8812d2258;2022-12-18 18:47:48;0.7359921518055556;0.7358866;0.7360899999999999;0.00027636164258134873;1067441.9114192554;-6.927054745107611e-05;8.216743410969101e-05;5.98367837894658e-05;-0.0001291073312405419
639fa8471378fdf8812d38e8;2022-12-18 18:54:39;0.7359031699999999;0.73585955;0.73598685;0.0001729847148232034;578085.7580521123;-0.00012090048153002401;-0.00011508737374499046;8.216743410969101e-05;-0.000203067915639715
639fa9db1378fdf8812d4f78;2022-12-18 19:01:25;0.7358471786111112;0.7358;0.73593535;0.00018393764892249434;1054705.2283012795;-7.608526661026277e-05;-8.725993873576033e-05;-0.00011508737374499046;3.900210713472769e-05
639fab5c1378fdf8812d6608;2022-12-18 19:07:53;0.7360070905555555;0.7358270499999999;0.73623875;0.0005593696110853566;784812.0300067769;0.00021731678681726003;-6.492900307568633e-05;-8.725993873576033e-05;0.00030457672555302037
639fad041378fdf8812d7c98;2022-12-18 19:14:57;0.7362358734722223;0.73619;0.73627;0.00010866082852316668;1104353.8102087616;0.00031084335953087864;-0.00010662795701525136;-6.492900307568633e-05;0.00037577236260656497
639fae951378fdf8812d9328;2022-12-18 19:21:33;0.7362311333333333;0.7358541000000001;0.7362713;0.0005666698691632285;688231.4046022819;-6.4383427373670475e-06;-1.2823688211149445e-05;-0.00010662795701525136;0.00010018961427788431
639fb0451378fdf8812da9b8;2022-12-18 19:28:51;0.7364825102777778;0.73611955;0.7366998;0.000787866638925625;156117.79192444176;0.0003414375364789476;1.322915768732318e-05;-1.2823688211149445e-05;0.000354261224690097
639fb1e41378fdf8812dc048;2022-12-18 19:35:45;0.7367332233333334;0.7366292999999999;0.7368111500000001;0.0002468329026582697;555031.3532943825;0.00034041956469680815;3.9282002698896005e-05;1.322915768732318e-05;0.00032719040700948497
639fb3731378fdf8812dd6d8;2022-12-18 19:42:24;0.73700923875;0.7367569;0.7371913999999999;0.0005895448484971835;1647033.3045487357;0.0003746477122585001;7.393096096406129e-05;3.9282002698896005e-05;0.0003353657095596041
639fb4f61378fdf8812ded68;2022-12-18 19:48:52;0.7371176030555555;0.73691695;0.73725;0.00045182749485205877;741433.4094690023;0.00014703249275312732;8.766574789455146e-05;7.393096096406129e-05;7.310153178906603e-05
639fb68d1378fdf8812e0408;2022-12-18 19:55:38;0.7372482815277778;0.7370284;0.73740885;0.0005160405382181175;1048367.2501157899;0.0001772830708160519;-0.0001078137579432003;8.766574789455146e-05;8.961732292150043e-05
639fb8441378fdf8812e1a98;2022-12-18 20:02:56;0.7372919569444444;0.7371370500000001;0.73746325;0.0004424298908017556;958343.9293209652;5.924112373121254e-05;-8.176119303070483e-05;-0.0001078137579432003;0.00016705488167441284
639fb9e41378fdf8812e3128;2022-12-18 20:09:54;0.7374053205555555;0.73724575;0.73763;0.0005210838453274027;890451.707840729;0.00015375674458860424;-5.570853378432322e-05;-8.176119303070483e-05;0.00023551793761930907
639fbb631378fdf8812e47b8;2022-12-18 20:16:16;0.7374886062499999;0.73727555;0.7376808;0.0005495000147333106;862602.3426588022;0.00011294425483888912;-2.9655915174077152e-05;-5.570853378432322e-05;0.00016865278862321234
639fbceb1378fdf8812e5e48;2022-12-18 20:22:49;0.7373362358333334;0.7372157500000001;0.73746325;0.0003356677564072691;917573.9823705333;-0.00020660714670734873;-7.325402000809532e-06;-2.9655915174077152e-05;-0.00017695123153327157
