inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension
2022-11-18 08:28:42;132.91282493572473;0.007148165;139.9105;139.90335183500002;0.0
2022-11-18 08:36:13;133.74472690018843;0.00715062;139.8705;139.86334938;8.372457868275886
2022-11-18 08:43:55;134.092076794353;0.00714825;139.90249999999997;139.89535174999997;8.013132573577451
2022-11-18 08:51:23;134.61216785511704;0.00714337;139.9985;139.99135663;7.436173382842371
2022-11-18 09:25:01;136.26925964934964;0.00714444;140.01749999999998;140.01035556;4.578232784540756
2022-11-18 09:33:43;133.94775418334336;0.007151515;139.851;139.843848485;7.444017103917591
2022-11-18 10:03:13;135.82109178671914;0.0071402;140.0945;140.0873598;5.717860634560978
2022-11-18 10:12:10;133.83910665866287;0.0071436;139.997;139.9898564;8.579193027874268
2022-11-18 10:21:19;132.72823830633902;0.0071460199999999995;139.95499999999998;139.94785398;9.725050876410732
2022-11-18 10:29:54;132.5305224267107;0.00714712;139.925;139.91785288;9.984429944033886
2022-11-18 10:39:15;131.80434478104362;0.0071442499999999996;139.985;139.97785575;10.858860438001816
2022-11-18 10:48:52;135.07571115573472;0.0071462999999999995;139.957;139.9498537;7.052526129221669
2022-11-18 10:57:53;134.5125498517647;0.0071486499999999994;139.911;139.90385135;7.440824465909173
2022-11-18 11:07:00;134.03804800986563;0.0071474799999999995;139.9245;139.91735252;7.4401064717916086
2022-11-18 11:16:02;135.357116577647;0.0071477;139.90699999999998;139.8998523;6.297361902218392
2022-11-18 11:25:35;134.646794373247;0.007148245;139.893;139.885851755;7.441781902455986
2022-11-18 11:35:15;139.92781527777777;139.8885;139.9555;0.06700000000000728;14.925373134326737
2022-11-18 11:44:45;140.00736527777784;139.94799999999998;140.05349999999999;0.10550000000000637;4748.815165876491
2022-11-18 11:54:55;140.08326527777774;140.0215;140.13549999999998;0.1139999999999759;3096.49122807083
2022-11-18 12:04:09;140.04014166666653;140.0205;140.0795;0.0589999999999975;4559.322033898498
2022-11-18 12:16:40;140.10375833333336;140.05599999999998;140.2;0.14400000000000546;4083.3333333331784
2022-11-18 12:26:05;140.20691805555552;140.1595;140.248;0.08849999999998204;3254.237288136254
2022-11-18 12:35:11;140.16626805555546;140.13299999999998;140.195;0.06200000000001182;5096.774193547415
2022-11-18 12:44:08;140.1230055555557;140.1035;140.143;0.039500000000003865;10658.227848100223
2022-11-18 12:53:46;140.1820611111112;140.1255;140.252;0.12650000000002137;6134.38735177762
2022-11-18 13:02:18;140.23483749999988;140.214;140.262;0.04800000000000182;4562.499999999827
2022-11-18 13:11:47;140.23752361111107;140.195;140.2615;0.0665000000000191;9398.496240598804
2022-11-18 13:20:47;140.24647916666677;140.227;140.267;0.03999999999999204;10350.00000000206
2022-11-18 13:29:44;140.2133944444445;140.18;140.2665;0.08650000000000091;7861.2716763004955
2022-11-18 13:39:27;140.24740138888876;140.2;140.30599999999998;0.10599999999999454;2867.9245283020346
2022-11-18 13:48:44;140.30910277777784;140.2635;140.357;0.09350000000000591;3433.1550802136867
2022-11-18 13:57:37;140.34870277777767;140.32299999999998;140.3625;0.03950000000003229;7949.367088601097
2022-11-18 14:06:25;140.33570972222216;140.322;140.348;0.02600000000001046;16461.53846153184
2022-11-18 14:15:50;140.35800833333323;140.3345;140.3765;0.04200000000000159;23404.761904761017
2022-11-18 14:25:25;140.36494027777766;140.34300000000002;140.3825;0.039499999999975444;11797.468354437715
2022-11-18 14:34:08;140.37816944444447;140.349;140.3985;0.04950000000002319;9717.171717167164
2022-11-18 14:43:23;140.3964819444447;140.379;140.425;0.04600000000002069;8717.391304343904
2022-11-18 14:52:17;140.39001388888906;140.375;140.401;0.02600000000001046;12923.076923071725
2022-11-18 15:01:34;140.3668166666665;140.346;140.38;0.033999999999991815;25823.529411770924
2022-11-18 15:10:40;140.34069583333337;140.29500000000002;140.3865;0.09149999999999636;8426.229508197057
2022-11-18 15:19:50;140.31086388888897;140.2925;140.3285;0.036000000000001364;6722.222222221967
2022-11-18 15:28:15;140.321338888889;140.301;140.34050000000002;0.03950000000003229;16759.493670872376
2022-11-18 15:36:46;140.33559861111107;140.316;140.37;0.054000000000002046;9962.962962962585
2022-11-18 15:44:58;140.35089861111132;140.334;140.36700000000002;0.03300000000001546;13575.757575751215
2022-11-18 15:54:05;140.34584999999979;140.322;140.3895;0.06749999999999545;11466.66666666744
2022-11-18 16:03:03;140.37104166666643;140.329;140.4085;0.07949999999999591;4402.515723270667
2022-11-18 16:11:36;140.40507916666672;140.373;140.425;0.05200000000002092;4692.307692305804
2022-11-18 16:22:25;140.40157083333327;140.375;140.414;0.03899999999998727;8025.641025643646
2022-11-18 16:30:31;140.3854;140.365;140.40800000000002;0.043000000000006366;11116.279069765797
2022-11-18 16:38:30;140.40296111111104;140.39;140.416;0.02600000000001046;17384.61538460839
2022-11-18 16:46:45;140.4020430555553;140.39;140.411;0.021000000000015007;31285.714285691927
2022-11-18 16:54:37;140.3920930555554;140.363;140.40800000000002;0.045000000000015916;33999.99999998797
2022-11-18 17:00:40;140.3632319444442;140.301;140.393;0.09200000000001296;14010.869565215418
2022-11-18 17:09:56;140.3363888888884;140.335;140.365;0.030000000000001137;1166.6666666666224
2022-11-18 17:09:56;140.3450000000007;140.345;140.345;0.0;0.0
2022-11-18 17:09:56;140.3450000000007;140.345;140.345;0.0;0.0
2022-11-18 17:09:56;140.3450000000007;140.345;140.345;0.0;0.0
2022-11-18 17:09:56;140.3450000000007;140.345;140.345;0.0;0.0
2022-11-18 17:09:56;140.3450000000007;140.345;140.345;0.0;0.0
