inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension
2022-11-18 08:28:42;1.1487081111111106;1.14839;1.14913;0.0007399999999999629;0.0
2022-11-18 08:36:12;1.1487795000000005;1.1485;1.14905;0.0005499999999998284;1314545.4545458646
2022-11-18 08:43:56;1.1483874166666665;1.14788;1.1488;0.0009200000000000319;739130.434782583
2022-11-18 08:51:22;1.1480999999999995;1.1478;1.14871;0.0009099999999999664;501098.9010989196
2022-11-18 09:25:00;1.1486003888888887;1.1480000000000001;1.14892;0.0009199999999998099;604347.8260870815
2022-11-18 09:33:43;1.1486899583333334;1.14822;1.14899;0.0007699999999999374;796103.8961039608
2022-11-18 10:03:13;1.1496184722222227;1.1484800000000002;1.1506150000000002;0.002134999999999998;337704.9180327872
2022-11-18 10:12:09;1.1499484861111122;1.1494300000000002;1.1505;0.0010699999999999044;236448.59813086226
2022-11-18 10:21:18;1.150137458333335;1.1495799999999998;1.1505999999999998;0.0010200000000000209;445098.0392156772
2022-11-18 10:29:54;1.1504055416666676;1.1501000000000001;1.1508;0.0006999999999999229;818571.4285715187
2022-11-18 10:39:16;1.1505679444444437;1.15035;1.1508099999999999;0.00045999999999990493;1495652.1739133527
2022-11-18 10:48:52;1.1505181805555558;1.1497700000000002;1.15178;0.0020099999999998452;548258.7064677039
2022-11-18 10:57:53;1.1513564444444435;1.151;1.1517;0.0006999999999999229;368571.42857146915
2022-11-18 11:07:01;1.1508068888888885;1.1503999999999999;1.15117;0.0007700000000001594;962337.6623374631
2022-11-18 11:16:02;1.150592597222222;1.15043;1.1508;0.00036999999999998145;1551351.351351429
2022-11-18 11:25:35;1.1507781249999993;1.1503;1.15123;0.0009299999999998754;1291397.8494625387
2022-11-18 11:35:13;1.1508687361111094;1.1505800000000002;1.1512099999999998;0.0006299999999996864;812698.4126988173
2022-11-18 11:44:45;1.1501056388888893;1.1495;1.15073;0.0012300000000000644;495934.95934956754
2022-11-18 11:54:54;1.1499019861111117;1.14953;1.1503;0.0007700000000001594;440259.7402596491
2022-11-18 12:04:09;1.1499156666666672;1.1495;1.15029;0.0007900000000000684;736708.8607594299
2022-11-18 12:16:40;1.1497080833333337;1.1493;1.1501000000000001;0.0008000000000001339;687499.9999998849
2022-11-18 12:26:05;1.1501495277777785;1.1497899999999999;1.1503999999999999;0.0006099999999999994;850819.6721311483
2022-11-18 12:35:09;1.1502736944444445;1.1499;1.1505;0.000600000000000156;1264999.9999996712
2022-11-18 12:44:10;1.149952083333333;1.14969;1.1503999999999999;0.0007099999999997664;877464.788732683
2022-11-18 12:53:45;1.1494381805555556;1.14912;1.1499;0.0007800000000000029;658974.3589743566
2022-11-18 13:02:17;1.1495676527777763;1.14914;1.15;0.0008599999999998609;613953.4883721924
2022-11-18 13:11:46;1.150195569444446;1.1499;1.150525;0.0006250000000000977;902399.9999998589
2022-11-18 13:20:46;1.1502197083333334;1.1499;1.1505;0.000600000000000156;1194999.9999996894
2022-11-18 13:29:44;1.1500107777777786;1.149775;1.15022;0.0004450000000000287;1528089.887640351
2022-11-18 13:39:27;1.1503648194444434;1.15;1.1507;0.000700000000000145;1237142.857142601
2022-11-18 13:48:44;1.1503236388888898;1.1501000000000001;1.1505;0.00039999999999995595;1487500.000000164
2022-11-18 13:57:36;1.1501204305555572;1.1499;1.1504750000000001;0.0005750000000002142;1446956.5217385914
2022-11-18 14:06:26;1.1500308055555561;1.14978;1.1503;0.000520000000000076;1284615.384615197
2022-11-18 14:15:48;1.1503561250000007;1.15;1.1506;0.000600000000000156;1246666.6666663426
2022-11-18 14:25:24;1.1505949166666671;1.1503;1.1508;0.0004999999999999449;1058000.0000001164
2022-11-18 14:34:08;1.1507308472222226;1.1506;1.1509049999999998;0.00030499999999977767;2442622.950821453
2022-11-18 14:43:24;1.1508116666666655;1.1506;1.151;0.00039999999999995595;3232500.000000356
2022-11-18 14:52:16;1.1508858194444447;1.1506850000000002;1.1512349999999998;0.0005499999999996064;1487272.7272737918
2022-11-18 15:01:33;1.15119836111111;1.151;1.1514;0.00039999999999995595;1790000.0000001972
2022-11-18 15:10:42;1.1512729583333332;1.151;1.1516;0.0005999999999999339;1560000.0000001718
2022-11-18 15:19:50;1.1513461527777762;1.151;1.1517;0.0006999999999999229;1010000.0000001113
2022-11-18 15:28:15;1.1518584305555555;1.1514;1.1522000000000001;0.0008000000000001339;621249.999999896
2022-11-18 15:36:48;1.1520329583333326;1.151755;1.1523050000000001;0.0005500000000000504;1183636.363636255
2022-11-18 15:44:57;1.151926041666665;1.1517;1.1521;0.00039999999999995595;1642500.000000181
2022-11-18 15:54:01;1.151597124999998;1.151;1.1520000000000001;0.001000000000000112;1167999.9999998694
2022-11-18 16:03:02;1.1510523055555555;1.15082;1.151215;0.00039500000000014523;1005063.291138871
2022-11-18 16:11:34;1.1509293333333341;1.1506;1.1512;0.0005999999999999339;1171666.6666667957
2022-11-18 16:22:24;1.150857999999999;1.1506;1.151;0.00039999999999995595;1287500.0000001418
2022-11-18 16:30:26;1.1511312222222219;1.1506;1.1514799999999998;0.0008799999999997699;931818.1818184255
2022-11-18 16:38:30;1.1514044305555555;1.1512;1.1518;0.0005999999999999339;646666.6666667379
2022-11-18 16:46:42;1.1517668194444446;1.1515;1.1522000000000001;0.000700000000000145;681428.5714284303
2022-11-18 16:54:35;1.1515939305555534;1.1514;1.1518;0.00039999999999995595;1210000.0000001332
2022-11-18 17:02:22;1.1514736805555543;1.15086;1.15217;0.0013099999999999223;1742748.0916031566
