predicted_return;actual_return;error
0.0008293327026367188;0.0;0.0
0.0008293327026367188;-0.00021287034383746622;-0.001042203046474185
0.0008293327026367188;-5.1352817732406215e-05;-0.000880685520369125
0.0008293327026367188;0.00010534113792712787;-0.0007239915647095909
0.0008293327026367188;-0.00010620330789827441;-0.0009355360105349932
0.0008293327026367188;-0.00016815194111215894;-0.0009974846437488776
0.0008293327026367188;-0.00010832480108352763;-0.0009376575037202464
0.0008293327026367188;4.377141456224972e-05;-0.0007855612880744691
0.0008293327026367188;0.00014279684679109766;-0.0006865358558456211
0.0008293327026367188;0.00013449912102618834;-0.0006948335816105304
