_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639aab647bc6ba414b854917;2022-12-15 00:06:44;100.0;99.98244059996831;100.03122639232046;-0.017559400031686323;0.031226392320462537;0.04878579235214886
639ab6a67bc6ba414b85b9ef;2022-12-15 00:54:46;99.98244059996831;100.02419379160182;99.99053286772994;0.04175319163350366;0.008092267761625749;0.03366683556621299
639ac1dc7bc6ba414b862ac7;2022-12-15 01:42:36;200.02419379160182;200.1565567168863;200.1309908965741;0.13236292528449667;0.10679710497228712;0.012781364007818815
639acc8f7bc6ba414b869b9f;2022-12-15 02:28:15;300.1565567168863;299.9925813580604;300.3168251285183;-0.1639753588258941;0.16026841163198924;0.1080248834156625
639ad76b7bc6ba414b870c77;2022-12-15 03:14:35;299.9925813580604;299.7299135762102;300.26924826426523;-0.26266778185021167;0.2766669062048095;0.17978267516265362
639ae2057bc6ba414b877d4f;2022-12-15 03:59:49;299.7299135762102;298.49456690970146;300.0257085464667;-1.2353466665087467;0.2957949702565088;0.5108404491552169
639aed977bc6ba414b87ee27;2022-12-15 04:49:11;298.49456690970146;298.5985145739257;298.76982734988695;0.10394766422422208;0.275260440185491;0.057392259341555556
639af8f87bc6ba414b885eff;2022-12-15 05:37:44;298.5985145739257;298.7421540550382;298.89317156638793;0.14363948111252967;0.29465699246225086;0.050575439588241136
639b049f7bc6ba414b88cfd7;2022-12-15 06:27:27;298.7421540550382;298.8196245965285;299.0369782022872;0.07747054149029964;0.2948241472489599;0.07275625579060949
639b10867bc6ba414b8940af;2022-12-15 07:18:14;298.8196245965285;298.0153459347972;299.13376357147723;-0.8042786617313027;0.3141389749487189;0.37427850938174784
