predicted_return;actual_return;error
0.0;0.0;0.0
-4.814359370058505e-06;-6.325467893514381e-05;-5.844031956508531e-05
-3.173194602706144e-05;-3.117314321938764e-05;5.588028076738039e-07
-6.743021884498124e-05;8.963481734173699e-05;0.00015706503618671824
-4.814359370058507e-06;5.052700019924884e-05;5.534135956930735e-05
3.0124850776465823e-05;-4.330460410510161e-05;-7.342945488156744e-05
-1.9032361708241186e-05;-7.094785576925498e-05;-5.191549406101379e-05
-1.7513943688878766e-05;6.036080624179243e-05;7.78747499306712e-05
-4.814359370058508e-06;0.00010257015807908029;0.0001073845174491388
1.5906848438283148e-05;3.517699000755075e-05;1.92701415692676e-05
