predicted_return;actual_return;error
0.0;0.0;0.0
-1.0078650718475005e-06;1.0863709979456982e-05;1.1871575051304482e-05
-1.0078650718475005e-06;-8.119816415781095e-06;-7.111951343933594e-06
-1.0078650718475005e-06;0.00019095769467319677;0.00019196555974504426
-1.0078650718475005e-06;7.793477509844871e-05;7.894264017029621e-05
-4.812746686812125e-07;-0.0001755070681761789;-0.0001750257935074977
-1.0078650718475005e-06;3.6064411861472965e-05;3.7072276933320466e-05
-1.0078650718475005e-06;4.4535877934155706e-05;4.554374300600321e-05
-1.0078650718475005e-06;2.473189535780868e-05;2.5739760429656183e-05
-1.0078650718475005e-06;2.6384709570627146e-05;2.7392574642474648e-05
