_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639aab647bc6ba414b854916;2022-12-15 00:06:44;100.0;99.9812304080656;100.07064031229915;-0.018769591934400864;0.07064031229914747;0.08940990423354833
639ab6a67bc6ba414b85b9ee;2022-12-15 00:54:46;99.9812304080656;99.99831151370385;100.00303801128771;0.017081105638254712;0.021807603222114835;0.00472738489471403
639ac1dc7bc6ba414b862ac6;2022-12-15 01:42:36;199.99831151370387;200.1383313813252;200.185294381696;0.14001986762133356;0.18698286799212838;0.023481698428027435
639acc8f7bc6ba414b869b9e;2022-12-15 02:28:15;300.1383313813252;299.99549385551614;300.35065320738045;-0.14283752580905684;0.21232182605524486;0.1183318872433766
639ad76b7bc6ba414b870c76;2022-12-15 03:14:35;299.99549385551614;299.7302865548501;300.2930741006749;-0.2652073006660203;0.2975802451587697;0.18759866643058304
639ae2057bc6ba414b877d4e;2022-12-15 03:59:49;299.7302865548501;299.1983290112088;300.14335178288917;-0.5319575436413402;0.413065228039045;0.3152910513457397
639aed977bc6ba414b87ee26;2022-12-15 04:49:11;299.1983290112088;298.9321174006698;299.5664594845405;-0.26621161053896003;0.36813047333168925;0.21201391263347769
639af8f87bc6ba414b885efe;2022-12-15 05:37:44;298.9321174006698;299.14877791735813;299.2728051538945;0.21666051668830733;0.34068775322469946;0.04149010070073997
639b049f7bc6ba414b88cfd6;2022-12-15 06:27:27;399.14877791735813;398.77058586118807;399.5809186773014;-0.37819205617006446;0.43214075994325185;0.20301523164905994
639b10867bc6ba414b8940ae;2022-12-15 07:18:14;398.77058586118807;398.9702013652104;399.0548610122612;0.19961550402234707;0.28427515107313184;0.02123016342039199
