_id;inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return;future_predicted_return;predicted_return;error
639aa1077bc6ba414b84e395;2022-12-14 23:22:22;1.3487032777777779;1.3485;1.3489650000000002;0.0003447756134813639;0.0;0.0;-7.129682712125649e-05;0.0;0.0
639aa23a7bc6ba414b84eedd;2022-12-14 23:27:28;1.3488176805555556;1.3486;1.3491;0.0003706950221723096;1834392.0455557578;8.48242750371623e-05;-7.129682712125649e-05;-7.129682712125649e-05;0.00015612110215841877
639aa3657bc6ba414b84fa25;2022-12-14 23:32:26;1.348784;1.3486;1.349;0.0002965634230536216;2040035.8000002245;-2.4970428576948195e-05;-2.3859983444213868e-05;-7.129682712125649e-05;4.632639854430829e-05
639aa4947bc6ba414b85056d;2022-12-14 23:37:31;1.348922375;1.3487;1.3491;0.0002965330010186509;2360614.15625026;0.00010259240916255892;-2.3859983444213868e-05;-2.3859983444213868e-05;0.0001264523926067728
639aa5b27bc6ba414b8510b5;2022-12-14 23:42:14;1.3491724027777778;1.3489;1.3494000000000002;0.0003705975596378412;2234229.498999254;0.00018535371820631205;-7.129682712125649e-05;-2.3859983444213868e-05;0.0002092137016505259
639aa6d27bc6ba414b851bfd;2022-12-14 23:47:05;1.349256111111111;1.3491;1.349405;0.00022605048625559497;3220519.5045537367;6.204420810921533e-05;2.357686023282875e-05;-7.129682712125649e-05;0.00013334103523047182
639aa7e87bc6ba414b852745;2022-12-14 23:51:43;1.3494186527777776;1.3492;1.3496000000000001;0.0002964239446199874;3026071.3288528197;0.00012046761569437988;-2.3859983444213868e-05;2.357686023282875e-05;9.689075546155112e-05
639aa8fa7bc6ba414b85328d;2022-12-14 23:56:15;1.3494915833333334;1.3493;1.3497;0.0002964079249845557;3097083.183750341;5.4045907402915416e-05;-2.3859983444213868e-05;-2.3859983444213868e-05;7.790589084712928e-05
639aaa2a7bc6ba414b853dd5;2022-12-15 00:01:20;1.3497168055555555;1.3494000000000002;1.350055;0.00048528698561343486;1475415.6225618303;0.00016689412887317548;-7.129682712125649e-05;-2.3859983444213868e-05;0.00019075411231738934
639aab657bc6ba414b854925;2022-12-15 00:06:36;1.349672527777778;1.349385;1.350355;0.0007186928532930951;983730.3888030642;-3.280523558375375e-05;-7.129682712125649e-05;-7.129682712125649e-05;3.849159153750273e-05
639aac907bc6ba414b85546d;2022-12-15 00:11:36;1.3495856527777779;1.3494000000000002;1.3498;0.00029638726462204005;1437308.720208492;-6.436746559780733e-05;-2.3859983444213868e-05;-7.129682712125649e-05;6.929361523449158e-06
639aada97bc6ba414b855fb5;2022-12-15 00:16:15;1.3495451944444445;1.349375;1.3497;0.00024082187194456915;4081855.1573515744;-2.9978336869581577e-05;2.357686023282875e-05;-2.3859983444213868e-05;-6.1183534253677085e-06
639aaeb67bc6ba414b856afd;2022-12-15 00:20:45;1.3494400833333333;1.349175;1.3496000000000001;0.00031494543940795177;3552996.3605872346;-7.788632166149321e-05;-0.00011871873078058264;2.357686023282875e-05;-0.00010146318189432197
639aafc97bc6ba414b857645;2022-12-15 00:25:20;1.3492300694444443;1.3491;1.3494000000000002;0.0002223490320844363;3921762.0685160477;-0.00015563039180680282;2.357686023282875e-05;-0.00011871873078058264;-3.6911661026220184e-05
639ab0dd7bc6ba414b85818d;2022-12-15 00:29:57;1.3491789722222223;1.3490250000000001;1.3493;0.0002038276653147453;5220096.0961653525;-3.7871393010914506e-05;2.357686023282875e-05;2.357686023282875e-05;-6.144825324374325e-05
639ab2027bc6ba414b858cd5;2022-12-15 00:34:50;1.349408236111111;1.349;1.3497;0.0005187459074781314;3059301.2438693843;0.00016992844804804264;-7.129682712125649e-05;2.357686023282875e-05;0.0001463515878152139
639ab3427bc6ba414b85981d;2022-12-15 00:40:09;1.3492756666666668;1.34908;1.3495;0.00031127812527551073;2261643.0222229497;-9.824265251732919e-05;-2.3859983444213868e-05;-7.129682712125649e-05;-2.6945825396072705e-05
639ab45d7bc6ba414b85a365;2022-12-15 00:44:48;1.3492560694444444;1.3491;1.3494000000000002;0.00022234474744568973;3818394.676525372;-1.4524253795184887e-05;2.357686023282875e-05;-2.3859983444213868e-05;9.335729649028981e-06
639ab5837bc6ba414b85aead;2022-12-15 00:49:46;1.34933425;1.3492;1.34952;0.00023715398908765413;4452803.024998637;5.794345293390535e-05;2.357686023282875e-05;2.357686023282875e-05;3.43665927010766e-05
639ab6a77bc6ba414b85b9fd;2022-12-15 00:54:38;1.3493095833333333;1.3491;1.3496000000000001;0.0003705598820138573;3416451.8649988594;-1.828061999225459e-05;-7.129682712125649e-05;2.357686023282875e-05;-4.1857480225083335e-05
639ab7d57bc6ba414b85c545;2022-12-15 00:59:40;1.3489849027777778;1.3489;1.3492;0.00022238944215181245;5283524.202546879;-0.00024062717671756694;2.357686023282875e-05;-7.129682712125649e-05;-0.00016933034959631046
639ab90f7bc6ba414b85d08d;2022-12-15 01:04:51;1.3489653055555557;1.3487900000000002;1.3492;0.00030393665301195103;4803632.551492865;-1.4527384392336834e-05;-2.3859983444213868e-05;2.357686023282875e-05;-3.810424462516558e-05
639aba2c7bc6ba414b85dbd5;2022-12-15 01:09:40;1.3489643472222221;1.3488;1.3492;0.0002965237745709389;2998073.261701719;-7.10421038726145e-07;-2.3859983444213868e-05;-2.3859983444213868e-05;2.3149562405487722e-05
639abb497bc6ba414b85e71d;2022-12-15 01:14:24;1.3491175694444444;1.3488950000000002;1.349345;0.00033355135993458725;3630625.281328456;0.00011358507920373369;-7.129682712125649e-05;-2.3859983444213868e-05;0.00013744506264794755
