_id;inserttime;initial_investment;agg_return;agg_predicted_return;actual_profit_loss;predicted_profit_loss;prediction_error
639aab647bc6ba414b85491a;2022-12-15 00:06:44;100.0;100.00136695660925;100.00068818813888;0.0013669566092460173;0.0006881881388807187;0.0006787684703652985
639ab6a67bc6ba414b85b9f2;2022-12-15 00:54:46;200.00136695660925;199.97695052174532;200.00305786365183;-0.024416434863923087;0.0016909070425867867;0.013053581734855805
639ac1dc7bc6ba414b862aca;2022-12-15 01:42:36;199.97695052174532;199.92943081214366;199.97222139921894;-0.04751970960165863;-0.004729122526384799;0.02139775957360687
639acc8f7bc6ba414b869ba2;2022-12-15 02:28:15;299.92943081214366;299.93524824240933;299.9262645735264;0.00581743026566528;-0.003166238617268391;0.0029952608714015993
639ad76b7bc6ba414b870c7a;2022-12-15 03:14:35;299.93524824240933;299.89312467341637;299.93047850243204;-0.0421235689929631;-0.004769739977291465;0.012453964392168426
639ae2057bc6ba414b877d52;2022-12-15 03:59:49;399.89312467341637;399.9451854732398;399.89451465869706;0.05206079982343681;0.0013899852806957824;0.012671089202677023
639aed977bc6ba414b87ee2a;2022-12-15 04:49:11;499.9451854732398;500.1290292574414;499.94430615086105;0.1838437842015992;-0.0008793223787506577;0.03694867196400622
639af8f87bc6ba414b885f02;2022-12-15 05:37:44;500.1290292574414;500.1204257412882;500.1320111959989;-0.008603516153186774;0.0029819385575251545;0.0023164931513600094
639b049f7bc6ba414b88cfda;2022-12-15 06:27:27;500.1204257412882;500.0821442357743;500.1253028058378;-0.03828150551390763;0.0048770645495892495;0.00862963555218254
639b10867bc6ba414b8940b2;2022-12-15 07:18:14;500.0821442357743;500.0791038561679;500.0864626885258;-0.0030403796064319977;0.004318452751476798;0.0014715247170351514
