_id;inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return;future_predicted_return;predicted_return;error
639aa1077bc6ba414b84e392;2022-12-14 23:22:17;7.7769758472222215;7.776845;7.77725;5.2076797968366156e-05;0.0;0.0;2.78175654510657e-08;0.0;0.0
639aa2397bc6ba414b84eeda;2022-12-14 23:27:28;7.777052361111112;7.7768250000000005;7.77735;6.750629616754408e-05;67889963.75427617;9.838514403750686e-06;9.751780368387699e-07;2.78175654510657e-08;9.81069683829962e-06
639aa3657bc6ba414b84fa22;2022-12-14 23:32:24;7.777136875;7.777025;7.77735;4.178915778695623e-05;55253566.290362395;1.0867084978197059e-05;9.751780368387699e-07;9.751780368387699e-07;9.89190694135829e-06
639aa4947bc6ba414b85056a;2022-12-14 23:37:19;7.777041458333333;7.776815;7.77735;6.879222682128121e-05;43086263.331761666;-1.2268868119586396e-05;9.751780368387699e-07;9.751780368387699e-07;-1.3244046156425166e-05
639aa5b27bc6ba414b8510b2;2022-12-14 23:42:11;7.776967333333333;7.77679;7.77725;5.9149020470835075e-05;55317906.77097252;-9.53125946370553e-06;9.751780368387699e-07;9.751780368387699e-07;-1.0506437500544299e-05
639aa6d27bc6ba414b851bfa;2022-12-14 23:47:01;7.7769223472222215;7.77681;7.77725;5.657765120380534e-05;38177618.79543563;-5.784531319682075e-06;9.751780368387699e-07;9.751780368387699e-07;-6.759709356520845e-06
639aa7e87bc6ba414b852742;2022-12-14 23:51:43;7.777008847222222;7.7768250000000005;7.77725;5.4648259806429106e-05;66607793.42093106;1.1122651884391858e-05;9.751780368387699e-07;9.751780368387699e-07;1.0147473847553088e-05
639aa8fa7bc6ba414b85328a;2022-12-14 23:56:15;7.77698325;7.77684;7.777150000000001;3.98612148226883e-05;101426913.80541658;-3.291396824240868e-06;2.78175654510657e-08;9.751780368387699e-07;-4.266574861079638e-06
639aaa2a7bc6ba414b853dd2;2022-12-15 00:01:21;7.777082152777777;7.776875;7.77735;6.10768911358514e-05;27375329.17779039;1.2717370553338192e-05;9.751780368387699e-07;2.78175654510657e-08;1.2689552987887127e-05
639aab657bc6ba414b854922;2022-12-15 00:06:34;7.777280888888889;7.777075;7.77755;6.107533041250907e-05;26426381.79931042;2.555407120661315e-05;9.751780368387699e-07;9.751780368387699e-07;2.4578893169774378e-05
639aac907bc6ba414b85546a;2022-12-15 00:11:35;7.77715436111111;7.77644;7.77745;0.00012986755220525907;29915093.755364355;-1.6268896493043952e-05;9.751780368387699e-07;9.751780368387699e-07;-1.7244074529882723e-05
639aada97bc6ba414b855fb2;2022-12-15 00:16:15;7.777440666666666;7.777150000000001;7.777699999999999;7.071735080615442e-05;22851534.758841135;3.681366503249818e-05;9.751780368387699e-07;9.751780368387699e-07;3.5838486995659414e-05
639aaeb67bc6ba414b856afa;2022-12-15 00:20:45;7.777518527777778;7.77634;7.777749999999999;0.0001812917571283361;16812678.349420633;1.0011148197518908e-05;9.751780368387699e-07;9.751780368387699e-07;9.035970160680138e-06
639aafc97bc6ba414b857642;2022-12-15 00:25:19;7.777341069444446;7.77634;7.7776499999999995;0.0001684380289230176;11624453.293115169;-2.281683196230867e-05;9.751780368387699e-07;9.751780368387699e-07;-2.379200999914744e-05
639ab0dd7bc6ba414b85818a;2022-12-15 00:29:56;7.77716826388889;7.776925;7.77745;6.750529012434456e-05;31049418.44023148;-2.2219104705922208e-05;9.751780368387699e-07;9.751780368387699e-07;-2.319428274276098e-05
639ab2027bc6ba414b858cd2;2022-12-15 00:34:45;7.776981944444444;7.7768250000000005;7.777150000000001;4.17899902972383e-05;47236191.871775866;-2.3957234577445143e-05;9.751780368387699e-07;9.751780368387699e-07;-2.4932412614283914e-05
639ab3427bc6ba414b85981a;2022-12-15 00:40:09;7.776585972222222;7.776115000000001;7.777150000000001;0.00013309182251657634;10143373.007247385;-5.091592407577229e-05;9.751780368387699e-07;9.751780368387699e-07;-5.189110211261106e-05
639ab45d7bc6ba414b85a362;2022-12-15 00:44:47;7.776144736111111;7.775785000000001;7.77635;7.265811262170486e-05;3027879.366278506;-5.673905138921649e-05;-1.980922835568587e-07;9.751780368387699e-07;-5.771422942605526e-05
639ab5827bc6ba414b85aeaa;2022-12-15 00:49:42;7.77613273611111;7.775964999999999;7.776389999999999;5.465441684479819e-05;50279559.432561114;-1.5431811531314703e-06;8.511454172432422e-07;-1.980922835568587e-07;-1.3450888695746117e-06
639ab6a67bc6ba414b85b9fa;2022-12-15 00:54:38;7.775658513888889;7.7745049999999996;7.77625;0.00022441829163197317;6487884.696973434;-6.098432708322825e-05;-1.6367753960192205e-06;8.511454172432422e-07;-6.18354725004715e-05
639ab7d57bc6ba414b85c542;2022-12-15 00:59:40;7.773221652777777;7.77166;7.7747150000000005;0.00039301593810964924;254442.60729217695;-0.0003133961074497946;-8.514316822836797e-06;-1.6367753960192205e-06;-0.00031175933205377537
639ab90e7bc6ba414b85d08a;2022-12-15 01:04:51;7.773444958333333;7.77245;7.773855;0.00018074354517605537;9405591.764530761;2.8727542521092766e-05;2.896938882768154e-07;-8.514316822836797e-06;3.7241859343929564e-05
639aba2c7bc6ba414b85dbd2;2022-12-15 01:09:39;7.773279375;7.772740000000001;7.77365;0.00011706770799027151;24327801.824194532;-2.130115209154596e-05;4.759061428407828e-07;2.896938882768154e-07;-2.1590845979822777e-05
