inserttime;initial_investment;agg_return;profit_loss
2022-11-24 21:03:00;100.0;100.03383362136151;0.03383362136150936
2022-11-24 21:58:26;200.0338336213615;200.15508118436094;0.12124756299942874
2022-11-24 22:44:45;300.15508118436094;300.41430803329206;0.2592268489311209
2022-11-24 23:31:03;400.41430803329206;401.1967262691706;0.7824182358785379
2022-11-25 00:00:33;501.1967262691706;502.0307982095508;0.8340719403802268
2022-11-25 00:29:32;501.1967262691706;501.8909991879599;0.6942729187892951
2022-11-25 00:57:50;501.1967262691706;501.6984298025949;0.5017035334242905
2022-11-25 01:26:53;501.1967262691706;501.64731720007256;0.4505909309019671
2022-11-25 01:55:43;501.1967262691706;501.84723626438984;0.6505099952192381
2022-11-25 02:25:13;501.1967262691706;501.4904634879202;0.2937372187495839
