inserttime;initial_investment;agg_return;profit_loss
2022-11-24 21:03:00;100.0;100.09411177642558;0.09411177642557789
2022-11-24 21:58:26;200.09411177642556;200.39610287505874;0.30199109863318085
2022-11-24 22:44:45;300.3961028750588;300.88089693711277;0.484794062053993
2022-11-24 23:31:03;400.88089693711277;402.2531691852805;1.3722722481677465
2022-11-25 00:00:33;502.2531691852805;503.4989475689657;1.2457783836852059
2022-11-25 00:29:32;502.2531691852805;503.02194389111617;0.7687747058356535
2022-11-25 00:57:50;502.2531691852805;502.7637418313735;0.51057264609301
2022-11-25 01:26:53;502.2531691852805;502.6977110053145;0.4445418200339759
2022-11-25 01:55:43;502.2531691852805;503.4054531890787;1.1522840037981723
2022-11-25 02:25:13;502.2531691852805;502.89400183663787;0.640832651357357
