inserttime;initial_investment;agg_return;profit_loss
2022-11-24 21:03:00;100.0;100.19251273618427;0.19251273618426978
2022-11-24 21:58:26;200.19251273618426;200.61565152241894;0.4231387862346878
2022-11-24 22:44:45;300.61565152241894;301.15983292332186;0.5441814009029144
2022-11-24 23:31:03;401.15983292332186;402.77215859868073;1.6123256753588748
2022-11-25 00:00:33;502.77215859868073;504.73866865560336;1.9665100569226297
2022-11-25 00:29:32;502.77215859868073;504.41024357845083;1.638084979770099
2022-11-25 00:57:50;502.77215859868073;503.9241144536063;1.1519558549255748
2022-11-25 01:26:53;502.77215859868073;504.05497224896766;1.2828136502869256
2022-11-25 01:55:43;502.77215859868073;504.4779552238022;1.7057966251214793
2022-11-25 02:25:13;502.77215859868073;503.9492501112468;1.1770915125660508
