inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return
2022-11-24 20:12:48;1.2105761388888885;1.2103;1.21095;0.0006500000000000394;0.0;0.0
2022-11-24 20:18:24;1.210470888888887;1.210185;1.21083;0.0006450000000000067;663565.8914728614;-8.694207379470679e-05
2022-11-24 20:23:57;1.2110130277777778;1.2107;1.211335;0.0006349999999999412;798425.1968504677;0.00044787437175650884
2022-11-24 20:29:35;1.2110779027777792;1.2109;1.2113;0.00039999999999995595;1310000.0000001444;5.357085226444995e-05
2022-11-24 20:35:13;1.210613041666667;1.21;1.21122;0.0012199999999999989;730327.8688524597;-0.00038384080003936054
2022-11-24 20:40:50;1.2104461111111122;1.20999;1.2107;0.0007100000000002105;499999.9999998518;-0.00013788927577131286
2022-11-24 20:46:16;1.2106407916666662;1.210255;1.210995;0.0007399999999999629;866216.2162162596;0.00016083372383693685
2022-11-24 20:51:41;1.210632847222221;1.2102;1.2109;0.000700000000000145;494285.71428561193;-6.562181366983234e-06
2022-11-24 20:57:10;1.210399069444444;1.2102;1.21065;0.00045000000000006146;1148888.888888732;-0.0001931037789974059
2022-11-24 21:02:56;1.2102649861111108;1.2099;1.2106;0.0006999999999999229;1001428.5714286817;-0.00011077613715841982
2022-11-24 21:08:35;1.21038776388889;1.21009;1.2107;0.0006099999999999994;936065.5737704927;0.00010144702126247945
2022-11-24 21:14:14;1.2102877222222213;1.20999;1.210525;0.0005350000000001742;964485.9813080971;-8.265257602022027e-05
2022-11-24 21:20:01;1.2102860277777763;1.21;1.2105;0.0004999999999999449;1436000.000000158;-1.4000343999740522e-06
2022-11-24 21:25:21;1.210364375;1.2101;1.21055;0.00045000000000006146;1908888.8888886282;6.473446807240846e-05
2022-11-24 21:30:55;1.2102800694444438;1.2101;1.2105;0.00039999999999995595;1755000.0000001932;-6.965303779381591e-05
2022-11-24 21:36:37;1.2105561388888877;1.2101;1.2111;0.001000000000000112;1005999.9999998874;0.00022810376822171458
2022-11-24 21:41:59;1.210798416666665;1.2106;1.2111;0.000500000000000167;595999.9999998009;0.00020013758139269386
2022-11-24 21:47:24;1.2110789861111104;1.2108;1.211265;0.0004649999999999377;1322580.6451614676;0.00023172267206777696
2022-11-24 21:52:52;1.2110875972222228;1.2109;1.2113;0.00039999999999995595;1770000.0000001949;7.110280345991193e-06
2022-11-24 21:58:23;1.211162777777779;1.2109;1.2114;0.0004999999999999449;1702000.0000001874;6.207689330527776e-05
2022-11-24 22:02:58;1.2105720555555548;1.2101;1.2112;0.001100000000000101;593636.3636363092;-0.00048773148668584677
2022-11-24 22:07:33;1.210508569444441;1.2101;1.2109;0.0008000000000001339;324999.9999999456;-5.244306674879903e-05
2022-11-24 22:12:07;1.2108582777777777;1.2107;1.2110500000000002;0.0003500000000000725;842857.1428569683;0.00028889372794533967
2022-11-24 22:16:48;1.2107139583333317;1.2105;1.21095;0.00045000000000006146;1537777.7777775677;-0.00011918772584252386
2022-11-24 22:21:19;1.210770152777777;1.2106;1.2109;0.000300000000000189;2386666.666665163;4.6414302947844944e-05
2022-11-24 22:26:17;1.2108422916666648;1.2106;1.211;0.000400000000000178;2422499.999998922;5.9580993735510704e-05
2022-11-24 22:30:56;1.2106832361111102;1.2105;1.21081;0.00031000000000003247;2338709.6774191097;-0.0001313594319006559
2022-11-24 22:35:34;1.210845347222222;1.21055;1.211;0.00045000000000006146;2124444.4444441544;0.00013390051689539094
2022-11-24 22:40:15;1.2111092361111124;1.2108;1.211315;0.0005149999999998212;1434951.456311178;0.0002179377320941756
2022-11-24 22:44:42;1.2112285277777783;1.211;1.2114;0.00039999999999995595;1422500.0000001567;9.84978589123452e-05
2022-11-24 22:49:17;1.2111355277777773;1.2109;1.2114;0.0004999999999999449;1042000.0000001148;-7.678154689077095e-05
2022-11-24 22:53:50;1.2111192361111114;1.2108;1.2114;0.0005999999999999339;1035000.000000114;-1.3451563670862377e-05
2022-11-24 22:58:28;1.211262958333335;1.2111;1.2114;0.00029999999999996696;1376666.6666668183;0.00011866892865567548
2022-11-24 23:03:05;1.2114177916666666;1.211;1.211925;0.0009249999999998426;1224864.8648650732;0.0001278280098193603
2022-11-24 23:07:52;1.212277500000002;1.2117;1.2128;0.001100000000000101;353636.3636363312;0.0007096712127303971
2022-11-24 23:12:30;1.2125261666666662;1.2123;1.2128;0.000500000000000167;779999.9999997395;0.0002051235518801124
2022-11-24 23:17:08;1.2124998472222235;1.2123;1.2128;0.000500000000000167;1765999.9999994102;-2.1706289865159407e-05
2022-11-24 23:21:49;1.2124129166666668;1.2123;1.2126;0.00029999999999996696;1956666.666666882;-7.169531258564268e-05
2022-11-24 23:26:18;1.2125911666666673;1.2123;1.21285;0.0005500000000000504;1939999.9999998221;0.0001470208685095174
