inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return
2022-11-24 18:18:04;0.22151013916666654;0.2214881;0.22155344999999999;6.53499999999918e-05;0.0;0.0
2022-11-24 18:18:55;0.22150352666666664;0.22148315;0.22155714999999998;7.399999999999074e-05;5878378.378379114;-2.9851906665619765e-05
2022-11-24 18:19:45;0.22150779916666666;0.2214855;0.22154815;6.264999999999743e-05;3623304.070231593;1.928863194328625e-05
2022-11-24 18:20:48;0.22151581833333334;0.2214905;0.22154295000000002;5.2450000000009434e-05;5204957.10200097;3.620263799670857e-05
2022-11-24 18:21:46;0.2215212983333335;0.2215075;0.2215472;3.970000000000362e-05;8564231.738034483;2.47386396213135e-05
2022-11-24 18:22:48;0.2215238966666667;0.22150175;0.22155835000000002;5.660000000001775e-05;8180212.014131711;1.1729496679263302e-05
2022-11-24 18:23:41;0.22152894999999997;0.22150795;0.22157105;6.309999999998261e-05;4611727.416800003;2.2811684921227257e-05
2022-11-24 18:24:32;0.22152950833333337;0.22150999999999998;0.22157105;6.105000000000693e-05;6224406.224405518;2.5203628392599426e-06
2022-11-24 18:25:28;0.22152546750000007;0.22150999999999998;0.2215685;5.850000000001687e-05;3777777.7777766883;-1.8240609856912422e-05
2022-11-24 18:26:21;0.22152630749999996;0.2215025;0.22156215;5.9650000000022185e-05;4844928.751045977;3.7918890742931293e-06
2022-11-24 18:27:24;0.22153212583333337;0.2215009;0.22157105;7.014999999999105e-05;5260156.806843151;2.6264751121747473e-05
2022-11-24 18:28:12;0.22150654250000004;0.2214855;0.22156425000000002;7.875000000001631e-05;3542857.1428564093;-0.00011548362675206808
2022-11-24 18:29:13;0.22149736250000004;0.22148145;0.22154785;6.639999999999424e-05;4578313.253012445;-4.144347113357847e-05
2022-11-24 18:30:09;0.22148512999999995;0.2214734;0.22152945000000002;5.605000000002969e-05;4014272.970559872;-5.522639124020173e-05
2022-11-24 18:31:03;0.22151631166666663;0.22149795;0.22158265;8.469999999999311e-05;4380165.289256554;0.00014078447012079467
2022-11-24 18:32:02;0.22151367166666658;0.2214885;0.22156365;7.514999999999605e-05;3233532.9341319064;-1.1917858238928834e-05
2022-11-24 18:32:56;0.22151017249999996;0.22149825;0.22154010000000002;4.1850000000009935e-05;4611708.48267513;-1.5796617158152815e-05
2022-11-24 18:33:53;0.22150044916666664;0.22148835;0.2215454;5.705000000000293e-05;6362839.61437303;-4.3895651488973614e-05
2022-11-24 18:34:49;0.22148984250000012;0.22146845;0.22153535000000002;6.690000000000862e-05;4678624.813153358;-4.7885531187085575e-05
2022-11-24 18:35:39;0.22149803083333322;0.2214756;0.2215449;6.929999999999437e-05;4011544.0115443375;3.696934017686803e-05
2022-11-24 18:36:40;0.22150044083333317;0.22146824999999998;0.2215472;7.895000000002206e-05;4420519.316021564;1.0880457902427758e-05
2022-11-24 18:37:33;0.22149834916666675;0.22146775000000002;0.22153535000000002;6.760000000000099e-05;3446745.562130127;-9.443171573640308e-06
2022-11-24 18:38:19;0.22148798249999996;0.2214625;0.2215275;6.499999999998174e-05;3800000.0000010678;-4.680245566520484e-05
2022-11-24 18:39:16;0.2214803816666667;0.22144065000000002;0.22150375;6.309999999998261e-05;4738510.301110656;-3.4317136521210607e-05
2022-11-24 18:40:04;0.2214760825;0.2214291;0.2214971;6.80000000000125e-05;3602941.1764699263;-1.9411049567198054e-05
2022-11-24 18:41:00;0.22149264500000007;0.22144704999999998;0.22152165000000001;7.460000000003575e-05;3324396.78284023;7.478234133957499e-05
2022-11-24 18:41:57;0.2215013458333333;0.22144960000000002;0.2215489;9.929999999996886e-05;2729103.7260834337;3.928271899609182e-05
2022-11-24 18:42:49;0.22149862916666668;0.2214852;0.22153375;4.855000000000831e-05;1585993.820803024;-1.226478627659736e-05
2022-11-24 18:43:39;0.2214938966666667;0.22146159999999998;0.22153375;7.215000000002081e-05;5114345.114343639;-2.1365820717708254e-05
2022-11-24 18:44:26;0.22150805666666676;0.2214859;0.2215356;4.9699999999985867e-05;1911468.812877807;6.392952678681888e-05
2022-11-24 18:45:24;0.2215095275;0.2214876;0.2215393;5.169999999998787e-05;4235976.789169272;6.640089554180532e-06
2022-11-24 18:46:20;0.22150132583333354;0.22147879999999998;0.2215361;5.7300000000037876e-05;4240837.696332275;-3.702624785047901e-05
2022-11-24 18:47:10;0.2215004666666668;0.22145055000000002;0.22152855;7.799999999996698e-05;4256410.256412058;-3.878833065651213e-06
2022-11-24 18:47:58;0.22149966166666665;0.22145525;0.22153275;7.750000000000812e-05;1883870.967741738;-3.6343038562107622e-06
2022-11-24 18:48:45;0.22149157916666662;0.22144580000000003;0.2215308;8.499999999997399e-05;3611764.7058834583;-3.648989772362391e-05
2022-11-24 18:49:33;0.2214991966666665;0.22148305000000001;0.2215449;6.184999999997443e-05;1422797.089733814;3.439182667146986e-05
2022-11-24 18:50:18;0.22149580500000002;0.22147529999999999;0.2215162;4.090000000001037e-05;4229828.850854673;-1.5312320394531162e-05
2022-11-24 18:51:03;0.22148305750000002;0.2214601;0.22151365;5.355000000001331e-05;5079365.079363817;-5.755188004573382e-05
2022-11-24 18:51:52;0.22145984416666675;0.22142455;0.22149354999999998;6.899999999998574e-05;4681159.420290822;-0.00010480861875076742
2022-11-24 18:52:39;0.22148714083333326;0.22143230000000003;0.221521;8.869999999996936e-05;2717023.6753109726;0.00012325786089674467
2022-11-24 18:53:25;0.2214784374999999;0.22144685;0.22152365000000002;7.680000000001574e-05;2122395.833332898;-3.92949825466792e-05
