inserttime;initial_investment;agg_return;profit_loss
2022-11-24 18:26:26;100.0;100.0331025375138;0.033102537513798325
2022-11-24 18:35:44;200.0331025375138;200.10119288993397;0.06809035242017103
2022-11-24 18:44:35;300.10119288993394;300.1780230161259;0.07683012619196461
2022-11-24 18:52:44;400.1780230161259;400.2664960480999;0.08847303197399015
2022-11-24 19:01:14;500.2664960480999;500.2641541694647;-0.00234187863520674
2022-11-24 19:09:38;500.2664960480999;500.2582271308916;-0.00826891720828371
2022-11-24 19:18:07;500.2664960480999;499.85045053636463;-0.4160455117352626
2022-11-24 19:24:38;500.2664960480999;500.05341040157896;-0.21308564652093764
2022-11-24 19:31:09;500.2664960480999;499.7630871245057;-0.5034089235941792
2022-11-24 19:37:41;500.2664960480999;499.71358703546736;-0.55290901263254
2022-11-24 19:44:03;500.2664960480999;499.8572340248746;-0.4092620232253239
2022-11-24 19:50:34;500.2664960480999;499.8073309849297;-0.45916506317018957
