inserttime;initial_investment;agg_return;profit_loss
2022-11-24 18:26:26;100.0;100.00691989374785;0.00691989374784896
2022-11-24 18:35:44;200.00691989374786;199.9885974399419;-0.018322453805950545
2022-11-24 18:44:35;299.98859743994194;299.96660867734124;-0.021988762600699374
2022-11-24 18:52:44;399.96660867734124;399.87580053049055;-0.09080814685069072
2022-11-24 19:01:14;499.87580053049055;499.81875174661525;-0.05704878387530243
2022-11-24 19:09:38;499.87580053049055;499.76748154579894;-0.10831898469160706
2022-11-24 19:18:07;499.87580053049055;499.414982500139;-0.460818030351561
2022-11-24 19:24:38;499.87580053049055;499.49517747855595;-0.3806230519346059
2022-11-24 19:31:09;499.87580053049055;499.36016498311335;-0.515635547377201
2022-11-24 19:37:41;499.87580053049055;499.30444379347693;-0.5713567370136161
2022-11-24 19:44:03;499.87580053049055;499.5283314901722;-0.34746904031834447
2022-11-24 19:50:34;499.87580053049055;499.6216161031132;-0.2541844273773677
