inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return
2022-11-24 18:18:04;0.05159487825000002;0.0515932;0.05159693;3.7300000000003997e-06;0.0;0.0
2022-11-24 18:18:55;0.051594873750000006;0.0515935;0.051596;2.5000000000025002e-06;74799999.9999252;-8.721795969174876e-08
2022-11-24 18:19:44;0.05159532158333335;0.0515935;0.051597000000000004;3.5000000000035003e-06;129142857.14272799;8.679802871838866e-06
2022-11-24 18:20:49;0.05159745741666668;0.0515955;0.05160175;6.249999999999312e-06;38720000.00000426;4.139587210202053e-05
2022-11-24 18:21:44;0.051598969666666654;0.051597754999999995;0.051600215000000005;2.4600000000096767e-06;34146341.46328031;2.9308614720340045e-05
2022-11-24 18:22:46;0.051599909166666694;0.051598820000000004;0.05160718;8.359999999998924e-06;28708133.97129556;1.8207727908309532e-05
2022-11-24 18:23:39;0.0516242451666667;0.051604945;0.0516315;2.6554999999997553e-05;7456222.933534862;0.0004716287372018803
2022-11-24 18:24:32;0.051623366999999996;0.05162071;0.051624655000000005;3.945000000005194e-06;7604562.737632573;-1.7010741055271893e-05
2022-11-24 18:25:28;0.05160598641666663;0.05159107;0.051622;3.092999999999846e-05;3362431.296476081;-0.0003366805449432448
2022-11-24 18:26:19;0.05161780133333331;0.051609735000000004;0.051621;1.1264999999996417e-05;7101642.2547736745;0.00022894469202245897
2022-11-24 18:27:15;0.05162000049999995;0.05161853;0.0516215;2.9699999999979743e-06;29292929.292949274;4.2604810934091505e-05
2022-11-24 18:28:12;0.05161904908333334;0.051618;0.0516205;2.5000000000025002e-06;37999999.999961995;-1.8431163452041676e-05
2022-11-24 18:29:07;0.05161885483333336;0.051618264999999997;0.051619485;1.220000000003163e-06;48360655.73757954;-3.763145649340161e-06
2022-11-24 18:30:07;0.05161832625000002;0.0516175;0.051619485;1.9850000000029566e-06;174307304.78563458;-1.0240121270537513e-05
2022-11-24 18:31:00;0.05162038416666664;0.051618;0.0516215;3.5000000000035003e-06;86285714.28562799;3.986794644697269e-05
2022-11-24 18:32:00;0.0516196015;0.051613175;0.051620885;7.71000000000105e-06;23735408.560308054;-1.5161969041325811e-05
2022-11-24 18:32:58;0.05161352983333338;0.051612500000000006;0.0516148;2.299999999996749e-06;46956521.73919681;-0.00011762327662721432
2022-11-24 18:33:39;0.05161309150000003;0.051612500000000006;0.0516148;2.299999999996749e-06;74782608.69575788;-8.492605229052304e-06
2022-11-24 18:34:48;0.05161380733333333;0.051612105000000005;0.05161453;2.4249999999934047e-06;98969072.16521762;1.3869220240440249e-05
2022-11-24 18:35:40;0.05160684200000001;0.051598820000000004;0.05161453;1.5709999999995172e-05;11712285.168685967;-0.00013495096938577367
2022-11-24 18:36:38;0.051594436666666646;0.051586284999999996;0.051601499999999995;1.521499999999898e-05;6046664.47584661;-0.00024038156284317817
2022-11-24 18:37:32;0.051590622666666676;0.05158897;0.05159243;3.460000000003738e-06;17630057.80344916;-7.392269877101216e-05
2022-11-24 18:38:21;0.0515896463333333;0.05158495;0.051591635;6.68499999999933e-06;33208676.14061664;-1.8924627827866224e-05
2022-11-24 18:39:15;0.05158745699999999;0.051583725;0.051590805;7.0800000000065255e-06;40395480.22595147;-4.243745574773255e-05
2022-11-24 18:40:05;0.05158675324999999;0.051586;0.051589499999999996;3.4999999999965614e-06;26857142.857169244;-1.3641881979127961e-05
2022-11-24 18:41:00;0.051587455000000046;0.051586;0.051588999999999996;2.9999999999960614e-06;50000000.00006565;1.3603298440843481e-05
2022-11-24 18:41:52;0.05158675208333331;0.051586;0.051588675;2.6750000000005936e-06;74392523.36446947;-1.3625728711250285e-05
2022-11-24 18:42:48;0.05158671691666667;0.051586;0.051587;1.000000000001e-06;48999999.999951;-6.816995686103538e-07
2022-11-24 18:43:37;0.051585858583333304;0.051585215000000004;0.05158688;1.6649999999979181e-06;184384384.38461494;-1.6638650115180255e-05
2022-11-24 18:44:30;0.05158617891666664;0.051585485;0.05158688;1.3950000000012563e-06;172759856.6306688;6.209712160178948e-06
2022-11-24 18:45:24;0.051586139666666656;0.0515855;0.051587;1.5000000000015001e-06;215999999.999784;-7.608627118842175e-07
2022-11-24 18:46:18;0.051586198999999985;0.0515855;0.051587065;1.5650000000019815e-06;149520766.77297363;1.1501797520274191e-06
2022-11-24 18:47:04;0.05158630524999999;0.0515855;0.05158701;1.5100000000031755e-06;127152317.8805273;2.0596594063176618e-06
2022-11-24 18:47:51;0.05158605966666663;0.051585775;0.05158704;1.2650000000002937e-06;119367588.93277861;-4.760630407111075e-06
2022-11-24 18:48:46;0.05158630516666666;0.05158551;0.05158701;1.5000000000015001e-06;122666666.66654399;4.759037647316354e-06
2022-11-24 18:49:34;0.05158614574999999;0.05158551;0.051587;1.4899999999998248e-06;243624161.07385415;-3.0902904588916595e-06
2022-11-24 18:50:12;0.051586019083333295;0.05158551;0.05158688;1.3700000000005375e-06;178102189.78095204;-2.4554396312335364e-06
2022-11-24 18:51:02;0.05158584791666663;0.0515855;0.05158688;1.3800000000022128e-06;191304347.8257802;-3.318082490340473e-06
2022-11-24 18:51:52;0.05158163433333336;0.051580955;0.051584715;3.7600000000054257e-06;65425531.914799206;-8.168099398256086e-05
2022-11-24 18:52:38;0.05158115474999999;0.051580265;0.05158179;1.525000000002219e-06;62950819.672039546;-9.29755986933544e-06
2022-11-24 18:53:25;0.05158144466666671;0.051581;0.051582420000000004;1.4200000000019752e-06;66197183.09849947;5.620592794546427e-06
