inserttime;initial_investment;agg_return;profit_loss
2022-11-24 18:26:26;100.0;100.02154422508463;0.021544225084625168
2022-11-24 18:35:44;200.02154422508463;200.09495546001784;0.07341123493321788
2022-11-24 18:44:35;300.09495546001784;300.04256328100035;-0.05239217901748816
2022-11-24 18:52:44;400.04256328100035;399.93996314546416;-0.10260013553619274
2022-11-24 19:01:14;499.93996314546416;499.8448168383708;-0.0951463070933869
2022-11-24 19:09:38;499.93996314546416;499.8822076381963;-0.0577555072678706
2022-11-24 19:18:07;499.93996314546416;499.6752213940782;-0.2647417513859409
2022-11-24 19:24:38;499.93996314546416;499.62194113816815;-0.31802200729600827
2022-11-24 19:31:09;499.93996314546416;499.6209104155453;-0.3190527299188375
2022-11-24 19:37:41;499.93996314546416;499.5631310821228;-0.37683206334133956
2022-11-24 19:44:03;499.93996314546416;499.62571744029475;-0.3142457051694123
2022-11-24 19:50:34;499.93996314546416;499.71522744513214;-0.22473570033201895
