_id;inserttime;avgfxrate;volatility;fractal_dimension;return;future_predicted_return;predicted_return;error
639f2d7ea668eef17e1b7728;2022-12-14 23:35:34;7.777121194444444;6.879152151857289e-05;0.0;0.0;-4.840334330240021e-07;0.0;0.0
639f2dbca668eef17e1b7738;2022-12-14 23:43:00;7.776970041666666;5.914899987216196e-05;54641667.770973034;-1.9435569280539148e-05;-1.931532204442698e-06;-4.840334330240021e-07;-1.8951535847515145e-05
639f2dfba668eef17e1b7748;2022-12-14 23:50:58;7.776951430555555;5.6577439621322944e-05;95797901.71270505;-2.393105671127346e-06;-3.026644286286572e-06;-1.931532204442698e-06;-4.615734666846479e-07
639f2e39a668eef17e1b7758;2022-12-14 23:58:42;7.776988958333334;4.629040904254193e-05;117086889.31694032;4.825512684984792e-06;8.391167727825435e-07;-3.026644286286572e-06;7.852156971271365e-06
639f2e78a668eef17e1b7778;2022-12-15 00:07:31;7.77725275;6.493295463496692e-05;7176633.230687076;3.391951153321875e-05;5.563677428306445e-06;8.391167727825435e-07;3.308039476043621e-05
639f2eb6a668eef17e1b7788;2022-12-15 00:15:17;7.777271222222222;0.00015558156137619598;35094132.953182854;2.3751603317849843e-06;4.408152208477259e-06;5.563677428306445e-06;-3.188517096521461e-06
639f2ef5a668eef17e1b7798;2022-12-15 00:22:51;7.777474888888889;0.000181292774344201;20745448.976688918;2.6187419835077705e-05;2.7613638661153938e-06;4.408152208477259e-06;2.1779267626600446e-05
639f2f33a668eef17e1b77a8;2022-12-15 00:30:29;7.777207875;7.972012706419023e-05;25413908.314128444;-3.433169411715239e-05;1.774472446512917e-06;2.7613638661153938e-06;-3.709305798326778e-05
639f2f71a668eef17e1b77b8;2022-12-15 00:38:20;7.776848013888889;9.451129798189952e-05;16188540.76359231;-4.627124758586443e-05;-6.601697079837322e-07;1.774472446512917e-06;-4.804572003237735e-05
639f2fafa668eef17e1b77d8;2022-12-15 00:46:32;7.776166527777778;9.837752281496951e-05;1016492.3565729753;-8.763011825542081e-05;-3.0795524497718913e-06;-6.601697079837322e-07;-8.696994854743708e-05
639f2feda668eef17e1b77e8;2022-12-15 00:54:23;7.775881444444445;0.00019226116173202146;9861586.099446822;-3.6661166181900286e-05;-2.9156749922620214e-06;-3.0795524497718913e-06;-3.3581613732128394e-05
639f302ca668eef17e1b77f8;2022-12-15 01:03:04;7.773342861111111;0.0003531299273743383;283181.8892936655;-0.00032646888349200927;8.318929325432881e-06;-2.9156749922620214e-06;-0.0003235532084997472
639f306aa668eef17e1b7808;2022-12-15 01:11:42;7.773319708333333;0.00012993161710772087;16477898.510452513;-2.9784840565152846e-06;2.6346475620632586e-06;8.318929325432881e-06;-1.1297413381948166e-05
639f30a8a668eef17e1b7818;2022-12-15 01:19:11;7.77322975;6.432332712160105e-05;65201851.14292031;-1.1572704675602735e-05;1.2355861040561097e-06;2.6346475620632586e-06;-1.4207352237665994e-05
639f30e7a668eef17e1b7838;2022-12-15 01:26:37;7.7734677083333334;0.000170451598915005;30706664.139946923;3.061254343265013e-05;7.180388984472855e-07;1.2355861040561097e-06;2.9376957328594017e-05
639f3125a668eef17e1b7848;2022-12-15 01:34:26;7.7746411250000005;0.0001524186108332489;656087.8586500396;0.00015095150719017053;-1.3163213703943335e-07;7.180388984472855e-07;0.00015023346829172324
639f3163a668eef17e1b7858;2022-12-15 01:42:28;7.773860375;0.00020646113032350862;5434436.972431144;-0.00010042264169467395;1.4340044429768687e-06;-1.3163213703943335e-07;-0.00010029100955763452
639f31a1a668eef17e1b7868;2022-12-15 01:49:33;7.774051402777777;0.0001241309003507585;26407606.733998604;2.4573090917839365e-05;-3.225055354963178e-06;1.4340044429768687e-06;2.3139086474862498e-05
639f31dfa668eef17e1b7878;2022-12-15 01:56:45;7.773825236111111;0.00014728913568603106;17720247.918105837;-2.9092509805882804e-05;4.8049245930236315e-06;-3.225055354963178e-06;-2.5867454450919626e-05
639f321da668eef17e1b7898;2022-12-15 02:04:11;7.773857208333334;0.0001562930688639027;45325106.55458832;4.112804346950156e-06;5.447503895474517e-06;4.8049245930236315e-06;-6.921202460734755e-07
639f325ba668eef17e1b78a8;2022-12-15 02:12:25;7.774186666666666;6.817433420681203e-05;32020848.10066063;4.2380291340932876e-05;4.139288226547449e-06;5.447503895474517e-06;3.693278744545836e-05
639f3299a668eef17e1b78b8;2022-12-15 02:20:21;7.774320569444444;8.10360203662482e-05;60911184.65210148;1.722402400651631e-05;2.806813729457233e-06;4.139288226547449e-06;1.3084735779968862e-05
639f32d7a668eef17e1b78c8;2022-12-15 02:27:18;7.774430013888889;7.074473614361961e-05;77913924.06652041;1.4077686077815073e-05;1.958097000484881e-06;2.806813729457233e-06;1.127087234835784e-05
639f3315a668eef17e1b78d8;2022-12-15 02:35:12;7.774514402777778;0.00016849926981061232;41543206.73239577;1.0854672141691027e-05;1.9862254287885582e-08;1.958097000484881e-06;8.896575141206146e-06
639f3353a668eef17e1b78f8;2022-12-15 02:43:26;7.7746843750000005;0.00015627644048253573;40652320.85133116;2.186274452866664e-05;-1.148357463401297e-06;1.9862254287885582e-08;2.1842882274378754e-05
639f3391a668eef17e1b7908;2022-12-15 02:50:23;7.774416083333333;0.00015306615792681191;35892976.43850797;-3.450836763619277e-05;-2.632159257064695e-06;-1.148357463401297e-06;-3.3360010172791475e-05
639f33d0a668eef17e1b7918;2022-12-15 02:57:26;7.774383583333334;0.00015756876244516098;34829238.45333875;-4.180378262547923e-06;5.736551646823468e-06;-2.632159257064695e-06;-1.5482190054832277e-06
