_id;inserttime;avgfxrate;min_price;max_price;volatility;fractal_dimension;return
639aa4212c4330a3456e679c;2022-12-14 23:35:35;0.7375417531944445;0.73735;0.73763175;0.000382012270871125;0.0;0.0
639aa5ef2c4330a3456e7e2c;2022-12-14 23:43:17;0.7374428151388889;0.737325;0.73755;0.00030510840350062203;1284789.2601529108;-0.0001341457010767018
639aa7bb2c4330a3456e94bc;2022-12-14 23:50:56;0.7373785806944445;0.73725;0.737495;0.0003322580915888768;2064660.025944017;-8.71043057518551e-05
639aa98a2c4330a3456eab4c;2022-12-14 23:58:40;0.7373393330555555;0.73725;0.7375;0.0003390569155779012;1639842.676715008;-5.322590039433927e-05
639aab9d2c4330a3456ec1dc;2022-12-15 00:07:24;0.7373099977777777;0.73715;0.7374499999999999;0.00040688448672085653;1189526.7964149457;-3.978531520386106e-05
639aad742c4330a3456ed86c;2022-12-15 00:15:22;0.7373503102777779;0.73725;0.737475;0.00030514668111452715;1641833.3575516278;5.4675102903309904e-05
639aaf332c4330a3456eeefc;2022-12-15 00:22:47;0.737297045;0.7371;0.7375;0.0005425221797817825;936367.2471498433;-7.223876770019799e-05
639ab0fd2c4330a3456f058c;2022-12-15 00:30:28;0.7374235566666667;0.73735;0.73755;0.000271214552602764;1474847.1133326772;0.0001715884629195308
639ab2ec2c4330a3456f1c1c;2022-12-15 00:38:43;0.7374573466666667;0.73735;0.737635;0.0003864630290664278;1829411.7336602365;4.582169866226204e-05
639ab4c12c4330a3456f32ac;2022-12-15 00:46:26;0.7374427097222223;0.73725;0.73765;0.0005424150170943283;814874.1942429191;-1.984785223259201e-05
639ab6972c4330a3456f493c;2022-12-15 00:54:20;0.7373367530555555;0.737235;0.7375;0.0003594015880829204;898716.1178750221;-0.00014368121790329574
639ab8a02c4330a3456f5fcc;2022-12-15 01:02:57;0.7374861427777778;0.73735;0.737575;0.00030509047824621785;1806021.6207577782;0.00020260718267909442
639abaa62c4330a3456f765c;2022-12-15 01:11:42;0.7375066377777778;0.73735;0.73765;0.0004067759998798447;1315220.1707033617;2.7790352674036466e-05
639abc692c4330a3456f8cec;2022-12-15 01:19:12;0.7375028205555556;0.73735;0.737625;0.00037287992985961694;1188049.9982039314;-5.1758479539981346e-06
639abe262c4330a3456fa37c;2022-12-15 01:26:37;0.7374639981944444;0.73735;0.737605;0.0003457795914435545;1593500.6392358062;-5.2640288320451184e-05
639ac0012c4330a3456fba0c;2022-12-15 01:34:32;0.7374219974999999;0.73725;0.7375;0.0003390189075558239;1622328.3944994581;-5.695287437396263e-05
639ac1dd2c4330a3456fd09c;2022-12-15 01:42:23;0.7374703441666667;0.7373272;0.7376199999999999;0.0003970329143619229;1322308.5064464612;6.556173646929247e-05
639ac3862c4330a3456fe72c;2022-12-15 01:49:33;0.7376352304166667;0.7374499999999999;0.737725;0.0003728129957196953;925396.9254317334;0.00022358356685693652
639ac5362c4330a3456ffdbc;2022-12-15 01:56:43;0.7373975308333333;0.73725;0.73755;0.0004068361873425964;1238827.8517996778;-0.00032224543179580547
639ac6f92c4330a34570144c;2022-12-15 02:04:15;0.7373411934722223;0.737;0.73755;0.0007459233321958303;736000.573120387;-7.64002573311101e-05
639ac8ee2c4330a345702adc;2022-12-15 02:12:37;0.7371811708333333;0.737015;0.73731;0.00040017299908320735;657215.7556919897;-0.0002170265818668819
639acabe2c4330a34570416c;2022-12-15 02:20:21;0.7371005902777779;0.736825;0.73735;0.0007122501418729706;560196.4486111137;-0.00010930902570991661
639acc602c4330a3457057fc;2022-12-15 02:27:19;0.7371995897222222;0.737035;0.737285;0.0003391211871050726;645786.8405967378;0.00013430927304921919
639ace382c4330a345706e8c;2022-12-15 02:35:01;0.7373113236111111;0.73715;0.7374499999999999;0.00040688375506111116;1459876.4207501607;0.0001515653161594347
639ad0272c4330a34570851c;2022-12-15 02:43:22;0.7372568527777777;0.737;0.7374499999999999;0.0006103707253509767;904368.4060741736;-7.38776573599053e-05
639ad1c82c4330a345709bac;2022-12-15 02:50:22;0.7371576811111111;0.737;0.737335;0.0004544482253715809;470900.7276351938;-0.00013451440470572596
639ad3702c4330a34570b23c;2022-12-15 02:57:25;0.7368602424999999;0.73665;0.73715;0.0006785547260679423;533486.8155700587;-0.00040349387754174093
639ad52f2c4330a34570c8cc;2022-12-15 03:04:54;0.7368089370833333;0.7365;0.737065;0.0007668202318995827;516418.2992655537;-6.962706590408441e-05
639ad6e52c4330a34570df5c;2022-12-15 03:12:11;0.7370761183333333;0.7369;0.7371776999999999;0.0003767589168780395;655591.6500841738;0.00036261944793675546
639ad8a02c4330a34570f5ec;2022-12-15 03:19:35;0.73688608875;0.736745;0.737115;0.0005021128850832597;1147152.3976216791;-0.0002578154122847643
639ada642c4330a345710c7c;2022-12-15 03:27:07;0.7368993308333334;0.73655;0.737225;0.0009160002889901496;449781.51748643233;1.7970326127180727e-05
639adc0e2c4330a34571230c;2022-12-15 03:34:13;0.7370089745833334;0.73675;0.7372103000000001;0.0006245514177901426;318628.68985891336;0.0001487906765718011
639addd72c4330a34571399c;2022-12-15 03:41:50;0.7368875823611111;0.73665;0.737225;0.0007803089830304862;372929.1938558021;-0.00016470928632982107
639adf712c4330a34571502c;2022-12-15 03:48:37;0.7370576326388889;0.73675;0.737275;0.0007122916536666735;395905.2426746049;0.00023076827707282555
639ae1152c4330a3457166bc;2022-12-15 03:55:41;0.7365585363888889;0.7362;0.73689;0.0009367890885942737;330917.6033051149;-0.0006771468442882575
