_id;inserttime;avgfxrate;volatility;fractal_dimension;return;future_predicted_return;predicted_return;error
639f2d7da668eef17e1b7724;2022-12-14 23:35:33;1.0650978472222223;0.0004929124599860096;0.0;0.0;-4.5135792401732596e-05;0.0;0.0
639f2dbca668eef17e1b7734;2022-12-14 23:43:18;1.0650161111111112;0.0005023398185418761;1349683.9688480329;-7.674047161426783e-05;-4.5135792401732596e-05;-4.5135792401732596e-05;-3.160467921253524e-05
639f2dfaa668eef17e1b7744;2022-12-14 23:50:59;1.0649738333333334;0.0004929698585705451;1215084.4307944272;-3.9696843396724286e-05;-4.5135792401732596e-05;-4.5135792401732596e-05;5.43894900500831e-06
639f2e39a668eef17e1b7754;2022-12-14 23:58:42;1.064858875;0.00046954578840333836;1450337.7877495158;-0.00010794474919021053;-5.444500808553262e-05;-4.5135792401732596e-05;-6.280895678847793e-05
639f2e77a668eef17e1b7774;2022-12-15 00:07:28;1.0647054444444446;0.0003756907622545999;1716837.5291668558;-0.00014408534234689122;3.855525824853352e-05;-5.444500808553262e-05;-8.96403342613586e-05
639f2eb6a668eef17e1b7784;2022-12-15 00:15:23;1.0648120694444445;0.0004085227924087302;1850569.941379467;0.00010014506881342375;3.855525824853352e-05;3.855525824853352e-05;6.158981056489023e-05
639f2ef4a668eef17e1b7794;2022-12-15 00:22:50;1.0648972916666666;0.0004695288493199367;1437611.34374952;8.003498895963291e-05;3.855525824853352e-05;3.855525824853352e-05;4.147973071109939e-05
639f2f32a668eef17e1b77a4;2022-12-15 00:30:29;1.0651819722222222;0.0003238883204905035;1651803.9279396813;0.00026733146734750937;3.855525824853352e-05;3.855525824853352e-05;0.00022877620909897585
639f2f70a668eef17e1b77b4;2022-12-15 00:38:43;1.0650659027777778;0.0003755636143798461;2577459.484722506;-0.00010896677513446246;3.855525824853352e-05;3.855525824853352e-05;-0.000147522033382996
639f2faea668eef17e1b77d4;2022-12-15 00:46:30;1.0650871666666666;0.00047413959702534496;2031047.4089100878;1.9964857417115278e-05;3.855525824853352e-05;3.855525824853352e-05;-1.859040083141824e-05
639f2feca668eef17e1b77e4;2022-12-15 00:54:23;1.0649670694444444;0.0006103475108755234;937171.0211113744;-0.00011275811593715017;0.0002583121509552002;3.855525824853352e-05;-0.0001513133741856837
639f302ba668eef17e1b77f4;2022-12-15 01:02:58;1.0657058333333334;0.000774134826136635;723388.202019941;0.0006936964626280182;-4.5135792401732596e-05;0.0002583121509552002;0.000435384311672818
639f3069a668eef17e1b7804;2022-12-15 01:11:41;1.0657128194444445;0.0004691695463143783;991112.9220830024;6.555384133829078e-06;-4.5135792401732596e-05;-4.5135792401732596e-05;5.169117653556167e-05
639f30a7a668eef17e1b7814;2022-12-15 01:19:12;1.0655464166666666;0.00047393524308399806;1407365.2671611595;-0.00015614223151097427;-4.5135792401732596e-05;-4.5135792401732596e-05;-0.00011100643910924167
639f30e6a668eef17e1b7834;2022-12-15 01:26:37;1.065622;0.0002533731473261555;2222019.2074074694;7.093387219104764e-05;3.855525824853352e-05;-4.5135792401732596e-05;0.00011606966459278023
639f3124a668eef17e1b7844;2022-12-15 01:34:32;1.0658250416666668;0.000469120146790978;2931018.864582355;0.0001905381708211136;3.855525824853352e-05;3.855525824853352e-05;0.00015198291257258008
639f3162a668eef17e1b7854;2022-12-15 01:42:28;1.0657223055555556;0.00038940725725309354;1813011.9222229554;-9.639115905043059e-05;3.855525824853352e-05;3.855525824853352e-05;-0.0001349464172989641
639f31a0a668eef17e1b7864;2022-12-15 01:49:33;1.0659106666666667;0.0005300631822803724;1439451.0418880924;0.0001767450208456497;3.855525824853352e-05;3.855525824853352e-05;0.0001381897625971162
639f31dea668eef17e1b7874;2022-12-15 01:56:45;1.0655110277777777;0.00037540671994187907;1752765.6406946376;-0.0003749271879778628;3.855525824853352e-05;3.855525824853352e-05;-0.00041348244622639634
639f321ca668eef17e1b7894;2022-12-15 02:04:16;1.065462236111111;0.0003566527157142892;2209432.2159353993;-4.5791798859626876e-05;3.855525824853352e-05;3.855525824853352e-05;-8.43470571081604e-05
639f325aa668eef17e1b78a4;2022-12-15 02:12:37;1.0654384305555555;0.0005819200642844994;1969342.64744603;-2.2342936941967615e-05;3.855525824853352e-05;3.855525824853352e-05;-6.089819519050113e-05
639f3298a668eef17e1b78b4;2022-12-15 02:20:21;1.065248;0.0005256991799093882;1110901.4857140556;-0.00017873445343647711;-4.5135792401732596e-05;3.855525824853352e-05;-0.00021728971168501063
639f32d7a668eef17e1b78c4;2022-12-15 02:27:20;1.0651944166666667;0.000469397879088218;1531749.5711668355;-5.030127569662049e-05;3.855525824853352e-05;-4.5135792401732596e-05;-5.165483294887897e-06
639f3314a668eef17e1b78d4;2022-12-15 02:35:09;1.0653150277777779;0.0005819874720937227;1360854.035484216;0.00011322919950012428;-4.5135792401732596e-05;3.855525824853352e-05;7.467394125159076e-05
639f3353a668eef17e1b78f4;2022-12-15 02:43:26;1.0649398055555557;0.0004413394987661127;1064939.8055556226;-0.00035221714932990125;-4.5135792401732596e-05;-4.5135792401732596e-05;-0.00030708135692816867
639f3390a668eef17e1b7904;2022-12-15 02:50:23;1.0645656527777778;0.0006575451670577446;932255.3502186524;-0.0003513370200137005;-4.5135792401732596e-05;-4.5135792401732596e-05;-0.00030620122761196793
639f33cfa668eef17e1b7914;2022-12-15 02:57:27;1.064255;0.0004698122160573988;1226021.7599995905;-0.0002918117609442652;-4.5135792401732596e-05;-4.5135792401732596e-05;-0.0002466759685425326
